data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
795	1.22	0.963	0.942	0.980	0.995	1.12	0.979	0.967	0.992	0.998
798	1.19	0.967	0.947	0.983	0.996	1.12	0.979	0.967	0.992	0.998
801	1.18	0.968	0.950	0.984	0.998	1.12	0.979	0.967	0.992	0.998
804	1.18	0.967	0.949	0.982	0.998	1.12	0.979	0.967	0.992	0.998
807	1.18	0.968	0.947	0.985	0.995	1.12	0.979	0.967	0.992	0.998
810	1.20	0.967	0.950	0.982	0.995	1.12	0.979	0.967	0.992	0.998
813	1.17	0.968	0.949	0.985	0.998	1.12	0.979	0.967	0.992	0.998
816	1.21	0.965	0.946	0.981	0.997	1.12	0.979	0.967	0.992	0.998
819	1.24	0.959	0.936	0.981	0.995	1.12	0.979	0.967	0.992	0.998
822	1.23	0.962	0.940	0.981	0.995	1.12	0.979	0.967	0.992	0.998
825	1.20	0.965	0.946	0.982	0.998	1.12	0.979	0.967	0.992	0.998
828	1.18	0.972	0.956	0.986	0.997	1.12	0.979	0.967	0.992	0.998
831	1.20	0.969	0.952	0.983	0.995	1.12	0.979	0.967	0.992	0.998
834	1.19	0.971	0.958	0.982	0.995	1.12	0.979	0.967	0.992	0.998
837	1.20	0.971	0.955	0.983	0.995	1.12	0.979	0.967	0.992	0.998
840	1.20	0.964	0.942	0.980	0.996	1.12	0.979	0.967	0.992	0.998
843	1.20	0.968	0.952	0.983	0.996	1.12	0.979	0.967	0.992	0.998
846	1.22	0.968	0.950	0.981	0.995	1.12	0.979	0.967	0.992	0.998
849	1.19	0.968	0.950	0.983	0.997	1.12	0.979	0.967	0.992	0.998
852	1.19	0.963	0.941	0.980	0.998	1.12	0.979	0.967	0.992	0.998
855	1.21	0.968	0.952	0.980	0.995	1.12	0.979	0.967	0.992	0.998
858	1.20	0.969	0.951	0.984	0.996	1.12	0.979	0.967	0.992	0.998
861	1.24	0.965	0.946	0.977	0.995	1.12	0.979	0.967	0.992	0.998
864	1.24	0.965	0.945	0.980	0.995	1.12	0.979	0.967	0.992	0.998
867	1.23	0.964	0.943	0.980	0.997	1.12	0.979	0.967	0.992	0.998
870	1.23	0.963	0.943	0.978	0.996	1.12	0.979	0.967	0.992	0.998
873	1.22	0.962	0.943	0.977	0.996	1.12	0.979	0.967	0.992	0.998
876	1.20	0.963	0.942	0.982	0.995	1.12	0.979	0.967	0.992	0.998
879	1.20	0.966	0.946	0.980	0.996	1.12	0.979	0.967	0.992	0.998
882	1.20	0.966	0.948	0.980	0.998	1.12	0.979	0.967	0.992	0.998
885	1.21	0.967	0.950	0.979	0.996	1.12	0.979	0.967	0.992	0.998
888	1.21	0.967	0.950	0.980	0.996	1.12	0.979	0.967	0.992	0.998
891	1.21	0.966	0.948	0.980	0.997	1.12	0.979	0.967	0.992	0.998
894	1.22	0.965	0.946	0.981	0.998	1.12	0.979	0.967	0.992	0.998
897	1.18	0.973	0.959	0.983	0.997	1.12	0.979	0.967	0.992	0.998
900	1.19	0.971	0.957	0.983	0.997	1.12	0.979	0.967	0.992	0.998
903	1.19	0.972	0.957	0.983	0.997	1.12	0.979	0.967	0.992	0.998
